FICHA TÉCNICA Y DESCRIPCIÓN DE LA GENÉTICA: AL,
Nombre Botánico,Cannabis sativa L
Nombre común,Cáñamo
Nombre de la Variedad,Antioquia Lee (AL)
Nombre Regional,Antioquia
Origen,Bajo Cauca
Lugar de Recolección,Municipio de Caucasia
Tipo de reproducción,Sexual (semilla)
Porcentaje de germinación (%),95 – 99
Peso de 1.000 semillas (gr),"19,2"
Días a floración Masculina y femenina,"Int: 65 – 70 días
Ext: 80 -90 días"
Proporción de plantas hermafroditas,2%
Proporción de plantas femeninas,90%
Proporción de plantas masculinas,8%
Número de foliolos,7
Altura de la planta (cm),"Int: 370 – 380
Ext: 390 – 410"
Altura del tallo (cm),"Int: 365 – 400
Ext: 380 – 400"
Contenido (%) de THC,"0,27"
Contenido (%) de CBD,11
"Tiempo estimado cosecha de tallos (después de germinación de la
semilla)","int: 90 – 100 días
ext: 120 – 140 días"
"Tiempo estimado cosecha flor (después de germinación de la
semilla)","int: 130– 140 días
ext: 160– 180 días"
Rendimiento tallos (gr/M2),2394
Rendimiento flor (gr/M2),"Int: 500 - 650
Ext: 350 - 400"
Rendimiento de Biomasa (gr/M2),3420
Porcentaje de fibra en tallo,30
Porcentaje de Cañamiza,70
Descripción Fenotípica,"Genética de cogollos densos, alto
contenido de terpenos. Resistente
a temperaturas bajas (fríos)."
"Propensión de Plagas, Enfermedades u Hongos que pueden afectar
el cultivo","Resistente a plagas y
enfermedades."
Otros detalles,"Requiere dosis medias de
Nitrógeno y Potasio en su
etapa de desarrollo y crecimiento"
