FICHA TÉCNICA Y DESCRIPCIÓN DE LA GENÉTICA: A,
Nombre Botánico,Cannabis sativa L
Nombre común,Cáñamo
Nombre de la Variedad,Artem (A)
Nombre Regional,Antioquia
Origen,Bajo Cauca
Lugar de Recolección,Municipio El Bagre
Tipo de reproducción,Sexual (semilla)
Porcentaje de germinación (%),90 – 95
Peso de 1.000 semillas (gr),"17,5"
Días a floración Masculina y femenina,"Int: 45 – 50 días
Ext: 45 -50 días"
Proporción de plantas hermafroditas,5%
Proporción de plantas femeninas,90%
Proporción de plantas masculinas,5%
Número de foliolos,7
Altura de la planta (cm),"Int: 310 – 400
Ext: 320 – 420"
Altura del tallo (cm),"Int: 300– 350 (3 – 3,5 m)
Ext: 300 – 400 (3 – 4 m)"
Contenido (%) de THC,"0,2"
Contenido (%) de CBD,"0,03"
"Tiempo estimado cosecha de tallos (después de germinación de la
semilla)","int: 50 – 55 días
ext: 50 – 60días"
"Tiempo estimado cosecha flor (después de germinación de la
semilla)","int: 90– 95 días
ext: 90 – 100 días"
Rendimiento tallos (gr/M2),2520
Rendimiento flor (gr/M2),"Int: 350 - 400
Ext: 300 - 400"
Rendimiento de Biomasa (gr/M2),3600
Porcentaje de fibra en tallo,25
Porcentaje de Cañamiza,75
Descripción Fenotípica,"Cultivar rico en CBG con un
promedio de 17, 66%. Bajo en
terpenos"
"Propensión de Plagas, Enfermedades u Hongos que pueden afectar
el cultivo","Resistente a plagas y
enfermedades."
Otros detalles,"Requiere altas dosis de
nitrógeno en su etapa de
desarrollo"
