FICHA TÉCNICA Y DESCRIPCIÓN DE LA GENÉTICA: LC,
Nombre Botánico,Cannabis sativa L
Nombre común,Cáñamo
Nombre de la Variedad,Lauri Colombia (LC)
Nombre Regional,Antioquia
Origen,Llanos Orientales
Lugar de Recolección,Pie de Monte Llanero
Tipo de reproducción,Sexual (semilla)
Porcentaje de germinación (%),90 – 91
Peso de 1.000 semillas (gr),"17,8"
Días a floración Masculina y femenina,"Int: 30 – 35 días
Ext: 35 -40 días"
Proporción de plantas hermafroditas,5%
Proporción de plantas femeninas,85%
Proporción de plantas masculinas,10%
Número de foliolos,7
Altura de la planta (cm),"Int: 160 – 200
Ext: 160 – 200"
Altura del tallo (cm),"Int: 150 – 190
Ext: 150– 200"
Contenido (%) de THC,"0,18"
Contenido (%) de CBD,"25,3"
"Tiempo estimado cosecha de tallos (después de germinación de la
semilla)","int: 35 – 40 días
ext: 40 – 55días"
"Tiempo estimado cosecha flor (después de germinación de la
semilla)","int: 60– 70 días
ext: 65 – 80 días"
Rendimiento tallos (gr/M2),2520
Rendimiento flor (gr/M2),"Int: 400 - 500
Ext: 350 – 400"
Rendimiento de Biomasa (gr/M2),3600
Porcentaje de fibra en tallo,30
Porcentaje de Cañamiza,70
Descripción Fenotípica,"Con alto contenido en CBG mayor al 19%.
Genética fácil de cultivar, con aroma cítrico
fresco con matices florales y un tremendo
perfil de terpenos."
"Propensión de Plagas, Enfermedades u Hongos que pueden afectar
el cultivo",Resistente a plagas y enfermedades.
Otros detalles,"Requiere dosis media de
nitrógeno y Potasio"
