FICHA TÉCNICA Y DESCRIPCIÓN DE LA GENÉTICA: L2,
Nombre Botánico,Cannabis sativa L
Nombre común,Cáñamo
Nombre de la Variedad,Lili2 (L2)
Nombre Regional,Antioquia
Origen,Cauca
Lugar de Recolección,Municipio de Timbiqui
Tipo de reproducción,Sexual (semilla)
Porcentaje de germinación (%),90 – 92
Peso de 1.000 semillas (gr),"18,5"
Días a floración Masculina y femenina,"Int: 25 – 30 días
Ext: 25 -35 días"
Proporción de plantas hermafroditas,0%
Proporción de plantas femeninas,85%
Proporción de plantas masculinas,15%
Número de foliolos,7
Altura de la planta (cm),"Int: 160– 200
Ext: 160 – 200"
Altura del tallo (cm),"Int: 150 – 180
Ext: 150 - 200"
Contenido (%) de THC,"0,3"
Contenido (%) de CBD,8 – 12
"Tiempo estimado cosecha de tallos (después de germinación de la
semilla)","int: 40– 45 días
ext: 40 – 50 días"
"Tiempo estimado cosecha flor (después de germinación de la
semilla)","int: 55– 60 días
ext: 55 – 65 días"
Rendimiento tallos (gr/M2),2772
Rendimiento flor (gr/M2),"Int: 500 - 750
Ext: 400 - 500"
Rendimiento de Biomasa (gr/M2),3960
Porcentaje de fibra en tallo,28
Porcentaje de Cañamiza,72
Descripción Fenotípica,"Cultivar de crecimiento vigoroso
que permite cosechar
rápidamente y flores grandes.
Tallos de crecimiento vertical"
"Propensión de Plagas, Enfermedades u Hongos que pueden afectar
el cultivo","Resistente a plagas y
enfermedades."
Otros detalles,"Requiere altas dosis de nitrógeno
en su etapa de desarrollo y nivel
medio de
Potasio en su etapa final"
