FICHA TÉCNICA Y DESCRIPCIÓN DE LA GENÉTICA: LT,
Nombre Botánico,Cannabis sativa L
Nombre común,Cáñamo
Nombre de la Variedad,LuisT (LT)
Nombre Regional,Antioquia
Origen,Cauca
Lugar de Recolección,Toribio
Tipo de reproducción,Sexual (semilla)
Porcentaje de germinación (%),90 – 93
Peso de 1.000 semillas (gr),"18,5"
Días a floración Masculina y femenina,"Int: 40 – 45 días
Ext: 45 -50 días"
Proporción de plantas hermafroditas,0%
Proporción de plantas femeninas,90%
Proporción de plantas masculinas,10%
Número de foliolos,7
Altura de la planta (cm),"Int: 130 – 190
Ext: 150 – 200"
Altura del tallo (cm),"Int: 120 – 170
Ext: 140 – 180"
Contenido (%) de THC,"0,3"
Contenido (%) de CBD,10 – 14
"Tiempo estimado cosecha de tallos (después de germinación de la
semilla)","int: 45 – 50 días
ext: 50 – 60 días"
"Tiempo estimado cosecha flor (después de germinación de la
semilla)","int: 85– 90 días
ext: 90 – 100 días"
Rendimiento tallos (gr/M2),2646
Rendimiento flor (gr/M2),"Int: 500 – 700
Ext: 400 – 550"
Rendimiento de Biomasa (gr/M2),3780
Porcentaje de fibra en tallo,29
Porcentaje de Cañamiza,71
Descripción Fenotípica,"Cultivar con gran potencial industrial, buena
cantidad de terpenos. Gran producción de
flores, sus tallos crecen muy
verticalmente"
"Propensión de Plagas, Enfermedades u Hongos que pueden afectar
el cultivo",Resistente a plagas y enfermedades
Otros detalles,"Requiere altas dosis de nitrógeno en su etapa
de desarrollo y potasio en su
etapa final de desarrollo"
