FICHA TÉCNICA Y DESCRIPCIÓN DE LA GENÉTICA: P2,
Nombre Botánico,Cannabis sativa L
Nombre común,Cáñamo
Nombre de la Variedad,Pato2 (P2)
Nombre Regional,Antioquia
Origen,Cauca
Lugar de Recolección,Patía
Tipo de reproducción,Sexual (semilla)
Porcentaje de germinación (%),90 – 97
Peso de 1.000 semillas (gr),19
Días a floración Masculina y femenina,"Int: 55 – 65 días
Ext: 45 -50 días"
Proporción de plantas hermafroditas,10%
Proporción de plantas femeninas,80%
Proporción de plantas masculinas,10%
Número de foliolos,7
Altura de la planta (cm),"Int: 270 – 380
Ext: 400 – 420"
Altura del tallo (cm),"Int: Entre 250 y 350 cm
Ext: Promedio 390 cm"
Contenido (%) de THC,"0,1"
Contenido (%) de CBD,3
"Tiempo estimado cosecha de tallos (después de germinación de la
semilla)","int: 80 – 100 días
ext: 90 – 120 días"
"Tiempo estimado cosecha flor (después de germinación de la
semilla)","int: 110– 130 días
ext: 130– 160 días"
Rendimiento tallos (gr/M2),2646
Rendimiento flor (gr/M2),"Int: 400 – 450
Ext: 350 - 450"
Rendimiento de Biomasa (gr/M2),3780
Porcentaje de fibra en tallo,25
Porcentaje de Cañamiza,75
Descripción Fenotípica,"Lo ideal para tener buenos tallos
para fibra es cosechar antes de la
floración."
"Propensión de Plagas, Enfermedades u Hongos que pueden afectar el
cultivo","Resistente a plagas y
enfermedades"
Otros detalles,"Requiere de dosis media de
nitrógeno en su etapa de
desarrollo y bajas dosis de
Fosforo"
