FICHA TÉCNICA Y DESCRIPCIÓN DE LA GENÉTICA: W1,
Nombre Botánico,Cannabis sativa L
Nombre común,Cáñamo
Nombre de la Variedad,Wil1
Nombre Regional,Antioquia
Origen,Huila
Lugar de Recolección,Pitalito
Tipo de reproducción,Sexual (semilla)
Porcentaje de germinación (%),90 – 95
Peso de 1.000 semillas (gr),"19,4"
Días a floración Masculina y femenina,"Int: 55 – 65 días
Ext: 65 -80 días"
Proporción de plantas hermafroditas,3%
Proporción de plantas femeninas,90%
Proporción de plantas masculinas,7%
Número de foliolos,7
Altura de la planta (cm),"Int: 250 – 400
Ext: 400 – 430"
Altura del tallo (cm),"Int: Entre 240 y 370 cm
Ext: Promedio 400 cm"
Contenido (%) de THC,"0,15"
Contenido (%) de CBD,"3,5"
"Tiempo estimado cosecha de tallos (después de germinación de la
semilla)","int: 80 – 100 días
ext: 90 – 120 días"
"Tiempo estimado cosecha flor (después de germinación de la
semilla)","int: 110– 130 días
ext: 130– 160 días"
Rendimiento tallos (gr/M2),2772
Rendimiento flor (gr/M2),"Int: 400 – 450
Ext: 350 – 450"
Rendimiento de Biomasa (gr/M2),3960
Porcentaje de fibra en tallo,29
Porcentaje de Cañamiza,71
Descripción Fenotípica,"Lo ideal para tener buenos tallos
para fibra es cosechar antes de la
floración."
"Propensión de Plagas, Enfermedades u Hongos que pueden afectar el
cultivo",Resistente a plagas y enfermedades
Otros detalles,"Requiere dosis media de nitrógeno
en su etapa de desarrollo y bajas
dosis de
Fosforo y potasio dosis media"
