Technical sheet and description of genetics: to the,UNNemed: 1
Botanical name,Cannabis sativa l
Common name,Hemp
Name of the variety,Antioquia Lee (al)
Regional name,Antioquia
Origin,Under Cauca
Collection place,Municipality of Caucasia
Type of reproduction,Sexual (seed)
Germination percentage (%),95 - 99
"Weight of 1,000 seeds (GR)",19.2
Days to male and female flowering,"INT: 65 - 70 days
Ext: 80 -90 days"
Proportion of hermaphrodite plants,2%
Proportion of female plants,90%
Proportion of male plants,8%
Number of leaflets,7
Plant height (cm),"INT: 370 - 380
Ext: 390 - 410"
Stem height (cm),"INT: 365 - 400
Ext: 380 - 400"
Content (%) of THC,0.27
CBD content (%),11
"Estimated time harvest time (after germination of the
seed)","INT: 90 - 100 days
ext: 120 - 140 days"
"Estimated time harvest flower (after germination of the
seed)","INT: 130– 140 days
ext: 160– 180 days"
Performance stems (gr/m2),2394
Flower performance (gr/m2),"INT: 500 - 650
Ext: 350 - 400"
Biomass yield (gr/m2),3420
Fiber percentage in stem,30
Cañamiza percentage,70
Phenotypic description,"Dense cogollos genetics, high
Terpenos content. Resistant
at low temperatures (cold)."
"Propensity of pests, diseases or fungi that can affect
The cultivation","Pest resistant and
diseases."
Other details,"Requires average doses of
Nitrogen and potassium in your
development and growth stage"
