Technical sheet and description of genetics: ga,UNNemed: 1
Botanical name,Cannabis sativa l
Common name,Hemp
Name of the variety,Galena (GA)
Regional name,Antioquia
Origin,Valle del Cauca
Collection place,Trujillo municipality
Type of reproduction,Sexual (seed)
Germination percentage (%),97 - 99
"Weight of 1,000 seeds (GR)",19.4
Days to male and female flowering,"INT: 46 - 50 days
Ext: 50 -60 days"
Proportion of hermaphrodite plants,0%
Proportion of female plants,85%
Proportion of male plants,15%
Number of leaflets,7
Plant height (cm),"INT: 310 - 400
Ext: 310 - 420"
Stem height (cm),"INT: 300 - 380
Ext: 300 - 400"
Content (%) of THC,0.26
CBD content (%),10 - 15
"Estimated time harvest time (after germination of the
seed)","INT: 40 - 45 days
ext: 54 - 60 days"
"Estimated time harvest flower (after germination of the
seed)","INT: 96– 100 days
ext: 100 - 115 days"
Performance stems (gr/m2),2772
Flower performance (gr/m2),"INT: 600 - 750
Ext: 500 - 700"
Biomass yield (gr/m2),3960
Fiber percentage in stem,27
Cañamiza percentage,73
Phenotypic description,"Cultivate dense flowers, colors
green to yellow. School
short"
"Propensity of pests, diseases or fungi that can affect
The cultivation","Pest resistant and
diseases."
Other details,"Requires average dose of
Nitrogen in its stage of
development and average level of
Potassium in growth stage"
