Technical sheet and description of genetics: Lc,UNNemed: 1
Botanical name,Cannabis sativa l
Common name,Hemp
Name of the variety,LAURI COLOMBIA (LC)
Regional name,Antioquia
Origin,Eastern plains
Collection place,Llanero mountain
Type of reproduction,Sexual (seed)
Germination percentage (%),90 - 91
"Weight of 1,000 seeds (GR)",17.8
Days to male and female flowering,"INT: 30 - 35 days
Ext: 35 -40 days"
Proportion of hermaphrodite plants,5%
Proportion of female plants,85%
Proportion of male plants,10%
Number of leaflets,7
Plant height (cm),"INT: 160 - 200
Ext: 160 - 200"
Stem height (cm),"INT: 150 - 190
EXT: 150– 200"
Content (%) of THC,0.18
CBD content (%),25.3
"Estimated time harvest time (after germination of the
seed)","INT: 35 - 40 days
ext: 40 - 55 days"
"Estimated time harvest flower (after germination of the
seed)","INT: 60–0 days
ext: 65 - 80 days"
Performance stems (gr/m2),2520
Flower performance (gr/m2),"INT: 400 - 500
EXT: 350 - 400"
Biomass yield (gr/m2),3600
Fiber percentage in stem,30
Cañamiza percentage,70
Phenotypic description,"With high CBG content greater than 19%.
Easy to grow genetics, with citrus aroma
fresh with floral nuances and a tremendous
Terpenos profile."
"Propensity of pests, diseases or fungi that can affect
The cultivation",Resistant to pests and diseases.
Other details,"Requires average dose of
nitrogen and potassium"
