Technical sheet and description of genetics: L2,UNNemed: 1
Botanical name,Cannabis sativa l
Common name,Hemp
Name of the variety,Lili2 (L2)
Regional name,Antioquia
Origin,Cauca
Collection place,Timbiqui municipality
Type of reproduction,Sexual (seed)
Germination percentage (%),90 - 92
"Weight of 1,000 seeds (GR)",18.5
Days to male and female flowering,"INT: 25 - 30 days
Ext: 25 -35 days"
Proportion of hermaphrodite plants,0%
Proportion of female plants,85%
Proportion of male plants,15%
Number of leaflets,7
Plant height (cm),"INT: 160– 200
Ext: 160 - 200"
Stem height (cm),"INT: 150 - 180
Ext: 150 - 200"
Content (%) of THC,0.3
CBD content (%),8 - 12
"Estimated time harvest time (after germination of the
seed)","INT: 40– 45 days
ext: 40 - 50 days"
"Estimated time harvest flower (after germination of the
seed)","INT: 55–6 days
EXT: 55 - 65 days"
Performance stems (gr/m2),2772
Flower performance (gr/m2),"INT: 500 - 750
EXT: 400 - 500"
Biomass yield (gr/m2),3960
Fiber percentage in stem,28
Cañamiza percentage,72
Phenotypic description,"Vigorous growth
that allows to harvest
Quickly and big flowers.
Vertical growth stems"
"Propensity of pests, diseases or fungi that can affect
The cultivation","Pest resistant and
diseases."
Other details,"Requires high dose of nitrogen
In its stage of development and level
means of
Potassium in its final stage"
