Technical file and description of genetics: Lt,UNNemed: 1
Botanical name,Cannabis sativa l
Common name,Hemp
Name of the variety,Luist (LT)
Regional name,Antioquia
Origin,Cauca
Collection place,Toribio
Type of reproduction,Sexual (seed)
Germination percentage (%),90 - 93
"Weight of 1,000 seeds (GR)",18.5
Days to male and female flowering,"INT: 40 - 45 days
Ext: 45 -50 days"
Proportion of hermaphrodite plants,0%
Proportion of female plants,90%
Proportion of male plants,10%
Number of leaflets,7
Plant height (cm),"INT: 130 - 190
Ext: 150 - 200"
Stem height (cm),"INT: 120 - 170
Ext: 140 - 180"
Content (%) of THC,0.3
CBD content (%),10 - 14
"Estimated time harvest time (after germination of the
seed)","INT: 45 - 50 days
ext: 50 - 60 days"
"Estimated time harvest flower (after germination of the
seed)","INT: 85–9 days
ext: 90 - 100 days"
Performance stems (gr/m2),2646
Flower performance (gr/m2),"Int: 500 - 700
Ext: 400 - 550"
Biomass yield (gr/m2),3780
Fiber percentage in stem,29
Cañamiza percentage,71
Phenotypic description,"Cultivate with great industrial potential, good
number of terpenes. Great production of
flowers, their stems grow very
vertically"
"Propensity of pests, diseases or fungi that can affect
The cultivation",Pest and disease resistant
Other details,"Requires high doses of nitrogen in your stage
development and potassium in your
Final Development Stage"
