Technical sheet and description of genetics: P2,UNNemed: 1
Botanical name,Cannabis sativa l
Common name,Hemp
Name of the variety,Pato2 (P2)
Regional name,Antioquia
Origin,Cauca
Collection place,Patía
Type of reproduction,Sexual (seed)
Germination percentage (%),90 - 97
"Weight of 1,000 seeds (GR)",19
Days to male and female flowering,"INT: 55 - 65 days
Ext: 45 -50 days"
Proportion of hermaphrodite plants,10%
Proportion of female plants,80%
Proportion of male plants,10%
Number of leaflets,7
Plant height (cm),"INT: 270 - 380
EXT: 400 - 420"
Stem height (cm),"INT: between 250 and 350 cm
Ext: average 390 cm"
Content (%) of THC,0.1
CBD content (%),3
"Estimated time harvest time (after germination of the
seed)","INT: 80 - 100 days
ext: 90 - 120 days"
"Estimated time harvest flower (after germination of the
seed)","INT: 110– 130 days
ext: 130– 160 days"
Performance stems (gr/m2),2646
Flower performance (gr/m2),"INT: 400 - 450
Ext: 350 - 450"
Biomass yield (gr/m2),3780
Fiber percentage in stem,25
Cañamiza percentage,75
Phenotypic description,"Ideal to have good stems
for fiber is to reap before the
bloom."
"Propensity of pests, diseases or fungi that can affect the
crop","Pest resistant and
diseases"
Other details,"Requires average dose of
nitrogen in its stage of
development and low doses of
Phosphorus"
