Technical sheet and description of genetics: W1,UNNemed: 1
Botanical name,Cannabis sativa l
Common name,Hemp
Name of the variety,Wil1
Regional name,Antioquia
Origin,Huila
Collection place,Pitalito
Type of reproduction,Sexual (seed)
Germination percentage (%),90 - 95
"Weight of 1,000 seeds (GR)",19.4
Days to male and female flowering,"INT: 55 - 65 days
Ext: 65 -80 days"
Proportion of hermaphrodite plants,3%
Proportion of female plants,90%
Proportion of male plants,7%
Number of leaflets,7
Plant height (cm),"INT: 250 - 400
Ext: 400 - 430"
Stem height (cm),"INT: between 240 and 370 cm
Ext: average 400 cm"
Content (%) of THC,0.15
CBD content (%),3.5
"Estimated time harvest time (after germination of the
seed)","INT: 80 - 100 days
ext: 90 - 120 days"
"Estimated time harvest flower (after germination of the
seed)","INT: 110– 130 days
ext: 130– 160 days"
Performance stems (gr/m2),2772
Flower performance (gr/m2),"INT: 400 - 450
Ext: 350 - 450"
Biomass yield (gr/m2),3960
Fiber percentage in stem,29
Cañamiza percentage,71
Phenotypic description,"Ideal to have good stems
for fiber is to reap before the
bloom."
"Propensity of pests, diseases or fungi that can affect the
crop",Pest and disease resistant
Other details,"Requires average nitrogen dose
in its development stage and casualties
dose of
Phosphorus and potassium average dose"
